n,gamma,k,seed,model,supportSize,exactValue,algValue,ratio,gap,theoryBound,exactTime,algTime
16,0.8,12,3,CVaR-CR-SHP,1,885.855050594064,885.855050594064,1,0,0.75,1.3358007,8.74e-05
16,0.8,12,4,CR-SHP,33,1070.07532015191,1067.24145808315,0.997351717196551,0.00264828280344917,0.75,2.6756592,0.0002087
16,0.8,12,4,CVaR-CR-SHP,1,1013.53233274695,1013.53233274695,1,0,0.75,1.333437,0.0001088
16,0.8,12,5,CR-SHP,33,996.814806248425,990.157808890996,0.993321731062078,0.00667826893792205,0.75,2.6935372,0.0002019
16,0.8,12,5,CVaR-CR-SHP,1,909.01946836566,909.01946836566,1,0,0.75,1.3189473,6.88e-05
16,0.8,12,6,CR-SHP,33,1024.51434216297,1019.10087192163,0.994716062022215,0.00528393797778473,0.75,2.6675413,0.0001714
16,0.8,12,6,CVaR-CR-SHP,1,961.853379854569,961.853379854569,1,0,0.75,1.3381999,7.4e-05
16,0.8,12,7,CR-SHP,33,1003.56102330439,1000.05039266626,0.996501826439437,0.00349817356056348,0.75,2.6915908,0.0002244
16,0.8,12,7,CVaR-CR-SHP,1,933.795713976523,933.795713976523,1,0,0.75,1.3020862,8.92e-05
16,0.8,12,8,CR-SHP,33,1037.9847062294,1037.9847062294,1,0,0.75,2.690274,0.0002043
16,0.8,12,8,CVaR-CR-SHP,1,953.101586171882,953.101586171882,1,0,0.75,1.3277144,7.78e-05
