n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
100,0.2,20,4,independent,CVaR-CR-SHP,1848.54505071559,1848.54505071557,1848.54505071559,1848.54505071559,1848.54505071559,854.415709875303,201,1,20
100,0.2,20,4,independent,Mixed,1978.58074536173,2481.69320021445,2367.08937947127,2376.71966575226,2251.83587491319,221.267560376432,201,1,7
100,0.2,20,4,gaussian06,Nominal,2705.77122053721,2453.72537471082,1394.6236444444,1395.76489707494,1183.12640743334,0,201,1,0
100,0.2,20,4,gaussian06,CR-SHP,2139.53845757118,2453.72537471082,1394.6236444444,1395.76489707494,1183.12640743334,0,201,1,0
100,0.2,20,4,gaussian06,CVaR-CR-SHP,1848.54505071559,1848.54505071557,1848.54505071559,1848.54505071559,1848.54505071559,605.180323995242,201,1,20
100,0.2,20,4,gaussian06,Mixed,1978.58074536173,2318.82622860194,1624.09540556454,1631.82931649312,1473.26817458098,134.899146108874,201,1,7
100,0.2,20,4,comonotone,Nominal,2705.77122053721,2158.37646859249,1183.12640743334,1183.12640743334,1183.12640743334,0,201,1,0
100,0.2,20,4,comonotone,CR-SHP,2139.53845757118,2158.37646859249,1183.12640743334,1183.12640743334,1183.12640743334,0,201,1,0
100,0.2,20,4,comonotone,CVaR-CR-SHP,1848.54505071559,1848.54505071557,1848.54505071559,1848.54505071559,1848.54505071559,309.831417876916,201,1,20
100,0.2,20,4,comonotone,Mixed,1978.58074536173,2098.85579911806,1473.26817458098,1473.26817458098,1473.26817458098,59.520669474432,201,1,7
100,0.2,20,4,t_copula06,Nominal,2705.77122053721,2454.89759184271,1380.74871915947,1382.8558165836,1183.12640743334,0,201,1,0
100,0.2,20,4,t_copula06,CR-SHP,2139.53845757118,2454.89759184271,1380.74871915947,1382.8558165836,1183.12640743334,0,201,1,0
100,0.2,20,4,t_copula06,CVaR-CR-SHP,1848.54505071559,1848.54505071557,1848.54505071559,1848.54505071559,1848.54505071559,606.352541127134,201,1,20
100,0.2,20,4,t_copula06,Mixed,1978.58074536173,2319.65283986592,1616.36249220946,1622.00638025475,1473.26817458098,135.244751976792,201,1,7
100,0.2,20,4,adverse,Nominal,2705.77122053721,2139.53845757118,1183.12640743334,1183.12640743334,1183.12640743334,0,201,1,0
100,0.2,20,4,adverse,CR-SHP,2139.53845757118,2139.53845757118,1183.12640743334,1183.12640743334,1183.12640743334,0,201,1,0
100,0.2,20,4,adverse,CVaR-CR-SHP,1848.54505071559,1848.54505071559,1848.54505071559,1848.54505071559,1848.54505071559,290.993406855582,201,1,20
100,0.2,20,4,adverse,Mixed,1978.58074536173,2086.11575688333,1473.26817458098,1473.26817458098,1473.26817458098,53.422700687845,201,1,7
100,0.2,20,5,independent,Nominal,2664.74641669441,2661.58334532457,2519.50517608044,2528.00339459479,2276.01341938402,0,201,1,0
100,0.2,20,5,independent,CR-SHP,2109.48142442627,2661.58334532457,2519.50517608044,2528.00339459479,2276.01341938402,0,201,1,0
100,0.2,20,5,independent,CVaR-CR-SHP,1851.90693481649,1851.90693481645,1851.90693481649,1851.90693481649,1851.90693481649,809.676410508116,201,1,20
100,0.2,20,5,independent,Mixed,1970.85670516689,2403.72229361083,2315.63701879732,2321.89186746649,2184.97939542914,257.861051713738,201,1,9
100,0.2,20,5,gaussian06,Nominal,2664.74641669441,2410.32330368196,1345.51672453833,1338.15733862002,1144.18094730833,0,201,1,0
100,0.2,20,5,gaussian06,CR-SHP,2109.48142442627,2410.32330368196,1345.51672453833,1338.15733862002,1144.18094730833,0,201,1,0
100,0.2,20,5,gaussian06,CVaR-CR-SHP,1851.90693481649,1851.90693481645,1851.90693481649,1851.90693481649,1851.90693481649,558.416368865507,201,1,20
100,0.2,20,5,gaussian06,Mixed,1970.85670516689,2257.4187059651,1661.10718958616,1658.75670388845,1535.97127990923,152.904597716862,201,1,9
100,0.2,20,5,comonotone,Nominal,2664.74641669441,2130.34511589164,1144.18094730833,1144.18094730833,1144.18094730833,0,201,1,0
100,0.2,20,5,comonotone,CR-SHP,2109.48142442627,2130.34511589164,1144.18094730833,1144.18094730833,1144.18094730833,0,201,1,0
100,0.2,20,5,comonotone,CVaR-CR-SHP,1851.90693481649,1851.90693481645,1851.90693481649,1851.90693481649,1851.90693481649,278.438181075186,201,1,20
100,0.2,20,5,comonotone,Mixed,1970.85670516689,2064.90146683448,1535.97127990923,1535.97127990923,1535.97127990923,65.4436490571634,201,1,9
100,0.2,20,5,t_copula06,Nominal,2664.74641669441,2421.26519066325,1351.9744624623,1352.70606772608,1144.18094730833,0,201,1,0
100,0.2,20,5,t_copula06,CR-SHP,2109.48142442627,2421.26519066325,1351.9744624623,1352.70606772608,1144.18094730833,0,201,1,0
100,0.2,20,5,t_copula06,CVaR-CR-SHP,1851.90693481649,1851.90693481645,1851.90693481649,1851.90693481649,1851.90693481649,569.358255846793,201,1,20
100,0.2,20,5,t_copula06,Mixed,1970.85670516689,2264.25925876619,1666.47298102513,1666.35907350434,1535.97127990923,157.005931897058,201,1,9
100,0.2,20,5,adverse,Nominal,2664.74641669441,2109.48142442627,1144.18094730833,1144.18094730833,1144.18094730833,0,201,1,0
100,0.2,20,5,adverse,CR-SHP,2109.48142442627,2109.48142442627,1144.18094730833,1144.18094730833,1144.18094730833,0,201,1,0
100,0.2,20,5,adverse,CVaR-CR-SHP,1851.90693481649,1851.90693481649,1851.90693481649,1851.90693481649,1851.90693481649,257.574489609778,201,1,20
100,0.2,20,5,adverse,Mixed,1970.85670516689,2052.0477795378,1535.97127990923,1535.97127990923,1535.97127990923,57.4336448884728,201,1,9
100,0.2,20,6,independent,Nominal,2687.56594156574,2687.97610393784,2536.17194033088,2545.84789033908,2298.0529430866,0,201,1,0
100,0.2,20,6,independent,CR-SHP,2112.82183970706,2687.97610393784,2536.17194033088,2545.84789033908,2298.0529430866,0,201,1,0
