n,gamma,k,seed,alpha,beta,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,4,0.45,0.7,adverse,CVaR-CR-SHP,1986.54501466161,2632.53184324701,1586.6661391384,1586.6661391384,1586.6661391384,181.750362661435,121,59,8
60,0.5,30,4,0.45,0.7,adverse,Mixed,2271.41157619784,2727.68190728241,1491.43826001966,1491.43826001966,1491.43826001966,86.6002986260382,121,59,4
60,0.5,30,5,0.45,0.7,independent,Nominal,3340.87235733102,3337.56886681522,3009.88888048461,3024.24957586815,2697.17710612025,0,121,58,0
60,0.5,30,5,0.45,0.7,independent,CR-SHP,2767.17604640279,3337.56886681522,3009.88888048461,3024.24957586815,2697.17710612025,0,121,58,0
60,0.5,30,5,0.45,0.7,independent,CVaR-CR-SHP,1937.08532475697,2362.79052634643,2275.93702093802,2281.12554413932,2198.44671142245,974.778340468788,121,58,22
60,0.5,30,5,0.45,0.7,independent,Mixed,2219.6299846283,3303.75253850707,2983.77548564806,3003.85211333538,2636.09241732727,33.8163283081476,121,58,1
60,0.5,30,5,0.45,0.7,gaussian06,Nominal,3340.87235733102,3051.1289351867,1466.87963879194,1462.38303096269,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,gaussian06,CR-SHP,2767.17604640279,3051.1289351867,1466.87963879194,1462.38303096269,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,gaussian06,CVaR-CR-SHP,1937.08532475697,2270.73204372017,1865.80680579874,1861.8584051412,1793.64258010031,780.396891466534,121,58,22
60,0.5,30,5,0.45,0.7,gaussian06,Mixed,2219.6299846283,3023.81543071227,1498.89999542682,1481.05539138062,1325.43315615366,27.3135044744276,121,58,1
60,0.5,30,5,0.45,0.7,comonotone,Nominal,3340.87235733102,2770.25299219882,1285.51506342425,1285.51506342425,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,comonotone,CR-SHP,2767.17604640279,2770.25299219882,1285.51506342425,1285.51506342425,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,comonotone,CVaR-CR-SHP,1937.08532475697,2162.45998909865,1793.64258010031,1793.64258010031,1793.64258010031,607.793003100172,121,58,22
60,0.5,30,5,0.45,0.7,comonotone,Mixed,2219.6299846283,2750.34717524862,1325.43315615367,1325.43315615366,1325.43315615366,19.9058169502023,121,58,1
60,0.5,30,5,0.45,0.7,t_copula06,Nominal,3340.87235733102,3033.68611920096,1444.55881319145,1435.79118131499,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,t_copula06,CR-SHP,2767.17604640279,3033.68611920096,1444.55881319145,1435.79118131499,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,t_copula06,CVaR-CR-SHP,1937.08532475697,2271.1707789571,1861.9365610737,1863.41340390572,1793.64258010031,762.515340243856,121,58,22
60,0.5,30,5,0.45,0.7,t_copula06,Mixed,2219.6299846283,3008.42735703524,1479.28982387768,1472.98973709657,1325.43315615366,25.2587621657185,121,58,1
60,0.5,30,5,0.45,0.7,adverse,Nominal,3340.87235733102,2767.17604640279,1285.51506342425,1285.51506342425,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,adverse,CR-SHP,2767.17604640279,2767.17604640279,1285.51506342425,1285.51506342425,1285.51506342425,0,121,58,0
60,0.5,30,5,0.45,0.7,adverse,CVaR-CR-SHP,1937.08532475697,2155.62747684873,1793.64258010031,1793.64258010031,1793.64258010031,611.548569554065,121,58,22
60,0.5,30,5,0.45,0.7,adverse,Mixed,2219.6299846283,2746.90360700085,1325.43315615366,1325.43315615366,1325.43315615366,20.2724394019365,121,58,1
60,0.5,30,6,0.45,0.7,independent,Nominal,3359.68014997178,3358.6135068747,3070.86936492562,3095.27594895042,2707.15566552029,0,121,57,0
60,0.5,30,6,0.45,0.7,independent,CR-SHP,2835.31646521716,3358.6135068747,3070.86936492562,3095.27594895042,2707.15566552029,0,121,57,0
60,0.5,30,6,0.45,0.7,independent,CVaR-CR-SHP,2037.77843089068,3024.56392433049,2823.30698293448,2836.05712996253,2573.26342967093,334.049582544215,121,57,8
