n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
200,0.2,40,6,independent,CVaR-CR-SHP,2872.07766106613,2872.07766106619,2872.07766106614,2872.07766106613,2872.07766106613,1624.06984889614,401,2,40
200,0.2,40,6,independent,Mixed,3672.61769586562,4496.14750996233,4330.93392940784,4343.73790631751,4140.11733501867,0,401,2,0
200,0.2,40,6,gaussian06,Nominal,4488.71847789454,4247.31177585524,3116.17874080743,3122.85376389526,2854.09421899797,0,401,2,0
200,0.2,40,6,gaussian06,CR-SHP,3960.99166257023,4247.31177585524,3116.17874080743,3122.85376389526,2854.09421899797,0,401,2,0
200,0.2,40,6,gaussian06,CVaR-CR-SHP,2872.07766106613,2872.07766106619,2872.07766106614,2872.07766106613,2872.07766106613,1375.23411478905,401,2,40
200,0.2,40,6,gaussian06,Mixed,3672.61769586562,4247.31177585524,3116.17874080743,3122.85376389526,2854.09421899797,0,401,2,0
200,0.2,40,6,comonotone,Nominal,4488.71847789454,4012.72403787383,2854.09421899798,2854.09421899797,2854.09421899797,0,401,2,0
200,0.2,40,6,comonotone,CR-SHP,3960.99166257023,4012.72403787383,2854.09421899798,2854.09421899797,2854.09421899797,0,401,2,0
200,0.2,40,6,comonotone,CVaR-CR-SHP,2872.07766106613,2872.07766106619,2872.07766106614,2872.07766106613,2872.07766106613,1140.64637680764,401,2,40
200,0.2,40,6,comonotone,Mixed,3672.61769586562,4012.72403787383,2854.09421899798,2854.09421899797,2854.09421899797,0,401,2,0
200,0.2,40,6,t_copula06,Nominal,4488.71847789454,4247.61132959634,3107.49415321661,3107.48777853165,2854.09421899797,0,401,2,0
200,0.2,40,6,t_copula06,CR-SHP,3960.99166257023,4247.61132959634,3107.49415321661,3107.48777853165,2854.09421899797,0,401,2,0
200,0.2,40,6,t_copula06,CVaR-CR-SHP,2872.07766106613,2872.07766106619,2872.07766106614,2872.07766106613,2872.07766106613,1375.53366853015,401,2,40
200,0.2,40,6,t_copula06,Mixed,3672.61769586562,4247.61132959634,3107.49415321661,3107.48777853165,2854.09421899797,0,401,2,0
200,0.2,40,7,independent,Nominal,4457.78503443623,4457.2355494091,4289.51095546932,4299.46906918205,4097.17730347897,0,401,4,0
200,0.2,40,7,independent,CR-SHP,3950.59735300266,4457.2355494091,4289.51095546932,4299.46906918205,4097.17730347897,0,401,4,0
200,0.2,40,7,independent,CVaR-CR-SHP,2895.09349849492,4457.2355494091,4289.51095546932,4299.46906918205,4097.17730347897,0,401,4,0
200,0.2,40,7,independent,Mixed,3676.43926646557,4457.2355494091,4289.51095546932,4299.46906918205,4097.17730347897,0,401,4,0
200,0.2,40,7,gaussian06,Nominal,4457.78503443623,4219.59182860861,3140.77017997039,3152.89383783057,2887.48792430106,0,401,4,0
200,0.2,40,7,gaussian06,CR-SHP,3950.59735300266,4219.59182860861,3140.77017997039,3152.89383783057,2887.48792430106,0,401,4,0
200,0.2,40,7,gaussian06,CVaR-CR-SHP,2895.09349849492,4219.59182860861,3140.77017997039,3152.89383783057,2887.48792430106,0,401,4,0
200,0.2,40,7,gaussian06,Mixed,3676.43926646557,4219.59182860861,3140.77017997039,3152.89383783057,2887.48792430106,0,401,4,0
200,0.2,40,7,comonotone,Nominal,4457.78503443623,3979.4553439563,2887.48792430106,2887.48792430106,2887.48792430106,0,401,4,0
200,0.2,40,7,comonotone,CR-SHP,3950.59735300266,3979.4553439563,2887.48792430106,2887.48792430106,2887.48792430106,0,401,4,0
200,0.2,40,7,comonotone,CVaR-CR-SHP,2895.09349849492,3979.4553439563,2887.48792430106,2887.48792430106,2887.48792430106,0,401,4,0
200,0.2,40,7,comonotone,Mixed,3676.43926646557,3979.4553439563,2887.48792430106,2887.48792430106,2887.48792430106,0,401,4,0
200,0.2,40,7,t_copula06,Nominal,4457.78503443623,4232.54543800078,3129.43001957977,3136.56364860622,2887.48792430106,0,401,4,0
200,0.2,40,7,t_copula06,CR-SHP,3950.59735300266,4232.54543800078,3129.43001957977,3136.56364860622,2887.48792430106,0,401,4,0
200,0.2,40,7,t_copula06,CVaR-CR-SHP,2895.09349849492,4232.54543800078,3129.43001957977,3136.56364860622,2887.48792430106,0,401,4,0
200,0.2,40,7,t_copula06,Mixed,3676.43926646557,4232.54543800078,3129.43001957977,3136.56364860622,2887.48792430106,0,401,4,0
200,0.2,40,8,independent,Nominal,4485.50585315074,4488.64217555474,4328.50090538624,4338.1952114213,4208.24485599328,0,401,5,0
200,0.2,40,8,independent,CR-SHP,3965.34153830662,4488.64217555474,4328.50090538624,4338.1952114213,4208.24485599328,0,401,5,0
200,0.2,40,8,independent,CVaR-CR-SHP,2915.56165123067,4488.64217555474,4328.50090538624,4338.1952114213,4208.24485599328,0,401,5,0
200,0.2,40,8,independent,Mixed,3700.5337521907,4488.64217555474,4328.50090538624,4338.1952114213,4208.24485599328,0,401,5,0
200,0.2,40,8,gaussian06,Nominal,4485.50585315074,4228.83771242253,3135.83283213376,3143.1772940807,2912.93082349736,0,401,5,0
200,0.2,40,8,gaussian06,CR-SHP,3965.34153830662,4228.83771242253,3135.83283213376,3143.1772940807,2912.93082349736,0,401,5,0
200,0.2,40,8,gaussian06,CVaR-CR-SHP,2915.56165123067,4228.83771242253,3135.83283213376,3143.1772940807,2912.93082349736,0,401,5,0
200,0.2,40,8,gaussian06,Mixed,3700.5337521907,4228.83771242253,3135.83283213376,3143.1772940807,2912.93082349736,0,401,5,0
200,0.2,40,8,comonotone,Nominal,4485.50585315074,3991.62758155568,2912.93082349736,2912.93082349736,2912.93082349736,0,401,5,0
200,0.2,40,8,comonotone,CR-SHP,3965.34153830662,3991.62758155568,2912.93082349736,2912.93082349736,2912.93082349736,0,401,5,0
200,0.2,40,8,comonotone,CVaR-CR-SHP,2915.56165123067,3991.62758155568,2912.93082349736,2912.93082349736,2912.93082349736,0,401,5,0
200,0.2,40,8,comonotone,Mixed,3700.5337521907,3991.62758155568,2912.93082349736,2912.93082349736,2912.93082349736,0,401,5,0
200,0.2,40,8,t_copula06,Nominal,4485.50585315074,4245.17826175768,3132.90221748224,3147.64589753206,2912.93082349736,0,401,5,0
200,0.2,40,8,t_copula06,CR-SHP,3965.34153830662,4245.17826175768,3132.90221748224,3147.64589753206,2912.93082349736,0,401,5,0
200,0.2,40,8,t_copula06,CVaR-CR-SHP,2915.56165123067,4245.17826175768,3132.90221748224,3147.64589753206,2912.93082349736,0,401,5,0
200,0.2,40,8,t_copula06,Mixed,3700.5337521907,4245.17826175768,3132.90221748224,3147.64589753206,2912.93082349736,0,401,5,0
200,0.2,40,9,independent,Nominal,4550.98493734968,4547.57577112919,4373.64676876998,4383.13595964992,4176.08266602998,0,401,3,0
